effective_date,section,description,source_version,event_type
2026-03-15,7.1.2.4,"CAs MUST NOT use Precertificate Signing CAs to issue Precertificates; MUST NOT issue using Technically Constrained Precertificate Signing CA Certificate Profile",v2.2.5,prohibition
2026-09-15,7.1.3.2.1,"Sunset all remaining use of SHA-1 in Certificates and CRLs",v2.2.5,sunset
2027-03-15,3.2.2.4,"CAs MUST NOT rely on Methods 3.2.2.4.16, 3.2.2.4.17",v2.2.5,validation_method_retirement
2027-03-15,3.2.2.5,"CAs MUST NOT rely on Methods 3.2.2.5.2, 3.2.2.5.5",v2.2.5,validation_method_retirement
